,CONGLOME,VIVIENDA,ID,P336,P337,P338,P339,P340,P341,P342,P343,P344,P345_TIEMPO,P345_MESES,P345_DIAS,P346,P347,P348,P349,P350,P351,P352
0,5013,37,9.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
1,5013,139,6.0,2,,,,,,,,,Dias,,14.0,2.0,,,,,,
2,5023,40,7.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
3,5023,80,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
4,5029,27,3.0,2,,,,,,,,,Dias,,13.0,2.0,,,,,,
5,5061,68,4.0,2,,,,,,,,,Dias,,26.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
6,5061,80,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,1.0,2.0,1.0,2.0,2.0,2.0,3.0
7,5074,78,7.0,2,,,,,,,,,N/S,,,2.0,,,,,,
8,5074,78,99.0,2,,,,,,,,,Dias,,5.0,2.0,,,,,,
9,5074,80,99.0,2,,,,,,,,,Dias,,6.0,2.0,,,,,,
10,5074,81,8.0,2,,,,,,,,,Dias,,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
11,5074,157,8.0,2,,,,,,,,,Meses,28.0,,2.0,,,,,,
12,5074,160,6.0,2,,,,,,,,,Nunca,,,,,,,,,
13,5074,160,99.0,2,,,,,,,,,Nunca,,,,,,,,,
14,5107,29,8.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
15,5107,35,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,22.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
16,5130,18,5.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,Dias,,27.0,2.0,,,,,,
17,5132,68,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
18,5138,77,9.0,2,,,,,,,,,Dias,,10.0,2.0,,,,,,
19,5154,12,6.0,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,Dias,,20.0,2.0,,,,,,
20,5155,213,99.0,2,,,,,,,,,N/S,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0
21,5184,21,4.0,2,,,,,,,,,Dias,,15.0,2.0,,,,,,
22,5204,44,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
23,5224,61,5.0,2,,,,,,,,,N/S,,,2.0,,,,,,
24,5224,138,4.0,2,,,,,,,,,Meses,9.0,,2.0,,,,,,
25,5225,13,6.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
26,5230,11,4.0,2,,,,,,,,,Dias,,50.0,2.0,,,,,,
27,5241,106,4.0,2,,,,,,,,,Dias,,47.0,2.0,,,,,,
28,5260,56,6.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
