,CONGLOME,VIVIENDA,ID,P367,P368_TIEMPO,P368_HORAS,P368_DIAS,P369,P370_MESES,P370_NS,P371,P371_AGUA,P371_FORMULA,P371_LECHE_ENVASADA,P371_LECHE_VACA,P371_JUGO,P371_OTRO,P371_CALDOS,P371_NINGUNO
0,5345,4,3.0,1,2.0,5.0,,2.0,24.0,,126,1,1,2,2,2,1,2,2
1,5351,1,6.0,1,1.0,,,2.0,24.0,,36,2,2,1,2,2,1,2,2
2,5384,6,7.0,1,1.0,,,1.0,,,146,1,2,2,1,2,1,2,2
3,6028,7,3.0,1,1.0,,,2.0,26.0,,136,1,2,1,2,2,1,2,2
4,6064,1,4.0,1,1.0,,,2.0,18.0,,367,2,2,1,2,2,1,1,2
5,6287,3,3.0,1,1.0,,,2.0,25.0,,13,1,2,1,2,2,2,2,2
6,6643,6,5.0,1,2.0,3.0,,1.0,,,16,1,2,2,2,2,1,2,2
7,6713,2,7.0,1,2.0,2.0,,1.0,,,1367,1,2,1,2,2,1,1,2
8,6809,5,6.0,1,1.0,,,1.0,,,16,1,2,2,2,2,1,2,2
9,6981,9,6.0,1,2.0,1.0,,1.0,,,134,1,2,1,1,2,2,2,2
10,7069,1,4.0,1,1.0,,,2.0,24.0,,167,1,2,2,2,2,1,1,2
11,7122,1,3.0,1,3.0,,5.0,2.0,27.0,,16,1,2,2,2,2,1,2,2
12,7333,8,7.0,1,1.0,,,2.0,19.0,,1356,1,2,1,2,1,1,2,2
13,7579,1,4.0,1,2.0,7.0,,2.0,5.0,,136,1,2,1,2,2,1,2,2
14,7606,7,7.0,1,1.0,,,2.0,14.0,,137,1,2,1,2,2,2,1,2
15,7692,7,4.0,1,2.0,1.0,,1.0,,,1356,1,2,1,2,1,1,2,2
16,8330,15,3.0,1,2.0,6.0,,2.0,26.0,,1356,1,2,1,2,1,1,2,2
17,8408,6,6.0,1,2.0,10.0,,2.0,14.0,,125,1,1,2,2,1,2,2,2
18,8863,3,7.0,1,3.0,,3.0,1.0,,,1256,1,1,2,2,1,1,2,2
19,9173,6,5.0,1,2.0,4.0,,2.0,20.0,,156,1,2,2,2,1,1,2,2
20,9179,9,8.0,1,1.0,,,2.0,20.0,,6,2,2,2,2,2,1,2,2
21,9277,2,4.0,1,2.0,2.0,,2.0,12.0,,36,2,2,1,2,2,1,2,2
22,9601,9,5.0,1,3.0,,2.0,2.0,14.0,,13,1,2,1,2,2,2,2,2
23,9719,3,5.0,1,2.0,1.0,,2.0,12.0,,1236,1,1,1,2,2,1,2,2
24,9720,5,6.0,1,1.0,,,2.0,14.0,,6,2,2,2,2,2,1,2,2
25,9756,2,5.0,1,2.0,7.0,,2.0,17.0,,17,1,2,2,2,2,2,1,2
26,9756,3,8.0,1,2.0,3.0,,2.0,15.0,,137,1,2,1,2,2,2,1,2
27,9820,4,6.0,1,2.0,3.0,,2.0,20.0,,135,1,2,1,2,1,2,2,2
28,10150,1,6.0,1,1.0,,,2.0,16.0,,5,2,2,2,2,1,2,2,2
29,10150,2,6.0,1,3.0,,1.0,1.0,,,1,1,2,2,2,2,2,2,2
30,5013,37,9.0,1,1.0,,,1.0,,,1567,1,2,2,2,1,1,1,2
31,5023,40,7.0,1,1.0,,,2.0,3.0,,2,2,1,2,2,2,2,2,2
32,5023,80,6.0,1,2.0,1.0,,1.0,,,16,1,2,2,2,2,1,2,2
33,5029,27,3.0,1,1.0,,,2.0,6.0,,1257,1,1,2,2,1,2,1,2
34,5061,68,4.0,1,1.0,,,2.0,24.0,,1357,1,2,1,2,1,2,1,2
35,5061,80,3.0,1,1.0,,,2.0,14.0,,13,1,2,1,2,2,2,2,2
36,5074,78,7.0,1,1.0,,,2.0,12.0,,1346,1,2,1,1,2,1,2,2
37,5074,81,8.0,1,,,,2.0,6.0,,167,1,2,2,2,2,1,1,2
38,5107,29,8.0,1,1.0,,,2.0,15.0,,13,1,2,1,2,2,2,2,2
39,5107,35,5.0,1,3.0,,1.0,2.0,12.0,,17,1,2,2,2,2,2,1,2
40,5130,18,5.0,1,1.0,,,2.0,24.0,,167,1,2,2,2,2,1,1,2
41,5132,68,7.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
42,5138,77,9.0,1,1.0,,,1.0,,,67,2,2,2,2,2,1,1,2
43,5154,12,6.0,1,1.0,,,2.0,16.0,,267,2,1,2,2,2,1,1,2
44,5184,21,4.0,1,2.0,4.0,,1.0,,,135,1,2,1,2,1,2,2,2
45,5204,44,6.0,1,2.0,5.0,,2.0,5.0,,13256,1,1,1,2,1,1,2,2
46,5224,61,5.0,1,1.0,,,1.0,,,157,1,2,2,2,1,2,1,2
47,5225,13,6.0,1,1.0,,,1.0,,,15,1,2,2,2,1,2,2,2
48,5230,11,4.0,1,2.0,14.0,,1.0,,,176,1,2,2,2,2,1,1,2
49,5260,56,6.0,1,2.0,4.0,,2.0,16.0,,26,2,1,2,2,2,1,2,2
50,5283,12,5.0,1,2.0,1.0,,2.0,13.0,,13,1,2,1,2,2,2,2,2
51,5283,90,5.0,1,1.0,,,1.0,,,1,1,2,2,2,2,2,2,2
52,5298,79,4.0,1,2.0,3.0,,1.0,,,1357,1,2,1,2,1,2,1,2
53,5372,54,99.0,1,2.0,1.0,,1.0,,,8,2,2,2,2,2,2,2,1
54,5345,85,4.0,1,3.0,,20.0,1.0,,,126,1,1,2,2,2,1,2,2
55,5427,29,5.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
56,5473,68,5.0,1,1.0,,,2.0,18.0,,12367,1,1,1,2,2,1,1,2
57,5500,80,4.0,1,1.0,,,1.0,,,13456,1,2,1,1,1,1,2,2
58,5555,84,3.0,1,1.0,,,1.0,,,67,2,2,2,2,2,1,1,2
59,5567,61,5.0,1,1.0,,,2.0,3.0,,1367,1,2,1,2,2,1,1,2
60,5622,43,4.0,1,1.0,,,1.0,,,367,2,2,1,2,2,1,1,2
61,5685,85,3.0,1,3.0,,1.0,2.0,20.0,,6,2,2,2,2,2,1,2,2
62,5761,92,4.0,1,1.0,,,2.0,6.0,,35,2,2,1,2,1,2,2,2
63,5764,47,7.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
64,5764,48,9.0,1,1.0,,,2.0,6.0,,136,1,2,1,2,2,1,2,2
65,5792,50,8.0,1,1.0,,,2.0,9.0,,67,2,2,2,2,2,1,1,2
66,5849,29,6.0,1,1.0,,,2.0,12.0,,1357,1,2,1,2,1,2,1,2
67,5898,81,3.0,1,2.0,1.0,,2.0,24.0,,6,2,2,2,2,2,1,2,2
68,5925,83,9.0,1,3.0,,3.0,2.0,1.0,,1367,1,2,1,2,2,1,1,2
69,5952,27,4.0,1,1.0,,,1.0,,,147,1,2,2,1,2,2,1,2
70,5952,28,4.0,1,1.0,,,2.0,24.0,,146,1,2,2,1,2,1,2,2
71,5952,63,5.0,1,1.0,,,1.0,,,456,2,2,2,1,1,1,2,2
72,5984,14,4.0,1,1.0,,,2.0,18.0,,1267,1,1,2,2,2,1,1,2
73,6038,67,5.0,1,2.0,3.0,,1.0,,,1367,1,2,1,2,2,1,1,2
74,6044,54,5.0,1,2.0,3.0,,2.0,23.0,,1356,1,2,1,2,1,1,2,2
75,6059,36,6.0,1,2.0,20.0,,2.0,6.0,,13467,1,2,1,1,2,1,1,2
76,6061,77,3.0,1,2.0,4.0,,1.0,,,16,1,2,2,2,2,1,2,2
77,6063,20,4.0,1,2.0,2.0,,1.0,,,136,1,2,1,2,2,1,2,2
78,6078,65,5.0,1,1.0,,,2.0,12.0,,136,1,2,1,2,2,1,2,2
79,6119,42,3.0,1,2.0,8.0,,2.0,23.0,,157,1,2,2,2,1,2,1,2
80,6125,96,3.0,1,2.0,5.0,,1.0,,,127,1,1,2,2,2,2,1,2
81,6251,58,6.0,1,1.0,,,2.0,18.0,,36,2,2,1,2,2,1,2,2
82,6266,86,4.0,1,1.0,,,2.0,21.0,,146,1,2,2,1,2,1,2,2
83,6287,77,5.0,1,1.0,,,2.0,11.0,,367,2,2,1,2,2,1,1,2
84,6298,42,5.0,1,1.0,,,2.0,18.0,,36,2,2,1,2,2,1,2,2
85,6322,22,7.0,1,1.0,,,1.0,,,1467,1,2,2,1,2,1,1,2
86,6343,32,8.0,1,2.0,1.0,,2.0,12.0,,167,1,2,2,2,2,1,1,2
87,6343,47,4.0,1,1.0,,,2.0,27.0,,167,1,2,2,2,2,1,1,2
88,6343,56,4.0,1,1.0,,,2.0,24.0,,167,1,2,2,2,2,1,1,2
89,6364,71,7.0,1,1.0,,,2.0,18.0,,16,1,2,2,2,2,1,2,2
90,6417,28,5.0,1,1.0,,,2.0,24.0,,56,2,2,2,2,1,1,2,2
91,6421,45,4.0,1,1.0,,,2.0,12.0,,13567,1,2,1,2,1,1,1,2
92,6433,36,5.0,1,1.0,,,1.0,,,37,2,2,1,2,2,2,1,2
93,6448,27,8.0,1,1.0,,,1.0,,,67,2,2,2,2,2,1,1,2
94,6483,81,6.0,1,2.0,3.0,,2.0,24.0,,367,2,2,1,2,2,1,1,2
95,6507,44,3.0,1,2.0,3.0,,1.0,,,13567,1,2,1,2,1,1,1,2
96,6546,23,5.0,1,2.0,7.0,,1.0,,,167,1,2,2,2,2,1,1,2
97,6546,36,6.0,1,2.0,1.0,,2.0,14.0,,148,1,2,2,1,2,2,2,2
98,6569,45,7.0,1,1.0,,,2.0,7.0,,15,1,2,2,2,1,2,2,2
99,6569,47,6.0,1,1.0,,,2.0,3.0,,1356,1,2,1,2,1,1,2,2
100,6584,57,6.0,1,2.0,2.0,,1.0,,,137,1,2,1,2,2,2,1,2
101,6602,42,4.0,1,1.0,,,2.0,6.0,,1367,1,2,1,2,2,1,1,2
102,6602,42,5.0,1,1.0,,,1.0,,,1367,1,2,1,2,2,1,1,2
103,6602,44,5.0,1,1.0,,,1.0,,,13467,1,2,1,1,2,1,1,2
104,6621,94,5.0,1,1.0,,,1.0,,,167,1,2,2,2,2,1,1,2
105,6643,24,5.0,1,2.0,1.0,,2.0,6.0,,16,1,2,2,2,2,1,2,2
106,6651,55,4.0,1,2.0,1.0,,1.0,,,137,1,2,1,2,2,2,1,2
107,6652,94,5.0,1,1.0,,,2.0,18.0,,36,2,2,1,2,2,1,2,2
108,6712,53,6.0,1,1.0,,,1.0,,,136,1,2,1,2,2,1,2,2
109,6740,27,6.0,1,3.0,,1.0,2.0,,,367,2,2,1,2,2,1,1,2
110,6788,61,6.0,1,3.0,,2.0,1.0,,,367,2,2,1,2,2,1,1,2
111,6792,91,4.0,1,1.0,,,2.0,1.0,,136,1,2,1,2,2,1,2,2
112,6798,63,5.0,2,,,,,,,1367,1,2,1,2,2,1,1,2
113,6807,45,5.0,1,2.0,2.0,,2.0,8.0,,136,1,2,1,2,2,1,2,2
114,6809,81,6.0,1,2.0,3.0,,2.0,0.0,,1367,1,2,1,2,2,1,1,2
115,6843,53,8.0,1,1.0,,,1.0,,,13567,1,2,1,2,1,1,1,2
116,6850,35,5.0,1,2.0,1.0,,1.0,,,1367,1,2,1,2,2,1,1,2
117,6905,97,4.0,1,1.0,,,2.0,19.0,,1367,1,2,1,2,2,1,1,2
118,6960,98,7.0,1,2.0,3.0,,2.0,4.0,,13567,1,2,1,2,1,1,1,2
119,6981,51,4.0,1,2.0,5.0,,1.0,,,67,2,2,2,2,2,1,1,2
120,7033,42,6.0,1,2.0,1.0,,1.0,,,67,2,2,2,2,2,1,1,2
121,7033,46,6.0,1,2.0,9.0,,1.0,,,167,1,2,2,2,2,1,1,2
122,7101,7,99.0,1,3.0,,1.0,1.0,,,157,1,2,2,2,1,2,1,2
123,7145,61,2.0,1,2.0,2.0,,2.0,20.0,,17,1,2,2,2,2,2,1,2
124,7145,97,5.0,1,2.0,2.0,,1.0,,,1357,1,2,1,2,1,2,1,2
125,7158,13,4.0,1,2.0,3.0,,1.0,,,157,1,2,2,2,1,2,1,2
126,7180,96,5.0,1,1.0,,,2.0,24.0,,1356,1,2,1,2,1,1,2,2
127,7203,80,4.0,1,1.0,,,2.0,24.0,,136,1,2,1,2,2,1,2,2
128,7207,42,4.0,1,1.0,,,2.0,12.0,,137,1,2,1,2,2,2,1,2
129,7207,86,3.0,1,3.0,,4.0,1.0,,,136,1,2,1,2,2,1,2,2
130,7208,73,7.0,1,2.0,5.0,,1.0,,,17,1,2,2,2,2,2,1,2
131,7239,20,6.0,1,2.0,4.0,,2.0,15.0,,1467,1,2,2,1,2,1,1,2
132,7239,20,9.0,1,2.0,2.0,,2.0,20.0,,1357,1,2,1,2,1,2,1,2
133,7241,84,6.0,1,2.0,3.0,,2.0,12.0,,1,1,2,2,2,2,2,2,2
134,7246,25,3.0,1,2.0,1.0,,1.0,,,157,1,2,2,2,1,2,1,2
135,7246,26,5.0,1,1.0,,,2.0,18.0,,157,1,2,2,2,1,2,1,2
136,7246,60,4.0,1,1.0,,,1.0,,,137,1,2,1,2,2,2,1,2
137,7248,86,9.0,1,3.0,,1.0,2.0,22.0,,167,1,2,2,2,2,1,1,2
138,7248,87,7.0,1,2.0,1.0,,2.0,24.0,,15,1,2,2,2,1,2,2,2
139,7248,88,5.0,1,1.0,,,1.0,,,367,2,2,1,2,2,1,1,2
140,7279,75,4.0,1,1.0,,,2.0,12.0,,147,1,2,2,1,2,2,1,2
141,7279,76,4.0,1,1.0,,,2.0,20.0,,1567,1,2,2,2,1,1,1,2
142,7302,23,5.0,1,3.0,,1.0,1.0,,,13567,1,2,1,2,1,1,1,2
143,7333,8,99.0,1,1.0,,,1.0,,,15,1,2,2,2,1,2,2,2
144,7397,55,6.0,1,1.0,,,1.0,,,1257,1,1,2,2,1,2,1,2
145,7439,30,6.0,1,2.0,5.0,,2.0,18.0,,136,1,2,1,2,2,1,2,2
