CONGLOME,VIVIENDA,ID,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113_BICICLETA,P113_MOTOCICLETA,P113_CARRO,P113_OTRO,P111_TEL_FIJO,P111_TEL_CELULAR,P111_CABLE,P111_INTERNET,P112_RADIO,P112_TELEVISOR,P112_COMPUTADORA,P112_HORNO,P112_LAVADORA,P112_REFRIGERADORA,P112_COCINA,P112_PLANCHA,P112_EQUIPO
5345,4,3.0,1,3,4,6,1,2,1,1,1,2,2,27,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2
5384,6,7.0,1,8,4,6,1,5,1,4,3,6,2,129,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1
6064,1,4.0,1,6,4,5,1,5,1,1,1,2,2,257,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2
6287,3,3.0,1,3,4,6,7,4,1,2,1,6,2,12,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
6643,6,5.0,1,6,7,4,5,5,7,3,2,6,23,12,2,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2
6713,2,7.0,1,1,5,5,1,1,1,3,2,2,2,279,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1
6981,9,6.0,1,3,4,6,2,2,1,1,1,2,2,17,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
7069,1,4.0,1,6,4,6,7,2,5,2,2,6,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
7122,1,3.0,1,1,1,5,1,1,1,3,3,2,2,245789,2,2,1,2,2,1,2,2,2,1,2,1,1,2,1,1,1
7333,8,7.0,1,3,4,5,1,1,1,4,4,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2
8408,6,6.0,1,1,4,5,1,1,1,2,2,2,1234,2345678,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2
8863,3,7.0,1,7,4,6,1,5,1,4,3,5,2,1267,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2
9173,6,5.0,1,3,4,5,1,1,1,4,3,2,234,23789,2,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1
9601,9,5.0,1,3,4,6,2,2,1,3,2,6,2,127,2,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
9719,3,99.0,3,6,4,5,3,2,1,1,1,2,2,278,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2
9719,3,5.0,3,6,4,5,3,2,1,1,1,2,2,278,1,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,2
9720,5,6.0,3,6,4,6,3,2,1,1,1,6,5,17,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2
9756,3,8.0,1,6,4,4,5,7,6,3,1,6,5,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
10150,1,6.0,1,1,4,6,5,5,1,1,1,6,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
5013,37,9.0,1,1,4,5,1,1,1,6,5,2,12,126789,2,2,2,2,1,1,2,2,1,1,2,2,2,1,1,1,1
5023,40,7.0,1,6,4,6,1,1,1,1,1,2,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
5023,80,6.0,1,6,4,4,1,1,1,6,4,2,23,25678,2,2,2,1,2,1,1,2,2,1,2,2,1,1,1,1,2
5029,27,3.0,1,1,1,3,1,1,1,3,2,2,23,234678,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,2
5061,68,4.0,1,3,4,6,2,2,1,2,1,6,2,267,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2
5107,29,8.0,1,6,4,6,2,5,1,1,1,6,2,27,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2
5107,35,5.0,1,6,4,6,7,5,1,2,1,6,23,127,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2
5130,18,5.0,1,3,4,4,4,5,1,4,2,6,2,1278,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,1,2
5138,77,9.0,1,3,4,6,5,3,1,2,2,6,2,17,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2
5154,12,6.0,1,3,3,6,7,5,1,3,3,6,2,127,2,1,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2
5184,21,4.0,1,1,1,3,1,1,1,3,2,2,2,2567,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2
5204,44,6.0,1,1,1,1,1,1,1,8,6,2,1234,123456789,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5224,61,5.0,1,1,1,5,1,1,1,4,3,2,23,1279,2,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1
5225,13,6.0,1,3,4,5,1,1,1,3,2,2,32,256789,2,2,2,1,2,1,1,2,2,1,2,2,1,1,1,1,1
5230,11,4.0,1,1,1,5,1,1,1,3,2,2,23,125679,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,2,1
5283,12,5.0,1,3,4,6,5,4,7,4,4,6,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
5298,79,4.0,1,3,4,5,7,5,1,4,2,6,2,128,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2
5345,85,4.0,1,1,1,3,1,1,1,3,2,2,1234,23456789,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
5473,68,5.0,1,1,1,2,1,1,1,2,1,2,234,123456789,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
5500,80,4.0,2,1,1,2,1,1,1,3,2,2,234,1245678,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2
5555,84,3.0,1,1,1,3,2,4,1,2,2,2,2,12679,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1
5622,43,4.0,1,2,4,5,1,1,1,1,1,2,2,124678,1,2,2,2,2,1,2,2,1,1,2,1,2,1,1,1,2
5685,85,3.0,1,3,4,6,1,1,1,1,1,2,2,1278,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,2
5761,92,4.0,1,3,4,5,1,1,1,2,2,2,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
5764,47,7.0,1,6,4,6,5,4,1,2,2,6,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
5764,48,99.0,1,6,4,6,3,7,1,1,1,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5764,48,9.0,1,6,4,6,3,7,1,1,1,6,5,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
5792,50,8.0,1,1,1,5,7,5,1,2,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
5849,29,6.0,1,1,1,5,1,1,1,5,4,2,23,125678,1,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,2
5898,81,3.0,1,1,1,5,1,1,1,10,2,6,2,178,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2
5925,83,9.0,1,3,4,5,7,5,1,3,2,6,23,26,1,2,2,2,2,1,1,2,2,1,2,2,2,1,2,2,2
5952,27,4.0,1,3,4,6,2,4,1,2,2,6,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2
5952,28,4.0,1,3,4,5,5,5,1,2,2,6,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
5952,63,5.0,1,3,4,6,5,4,1,3,2,6,2,12,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2
5984,14,4.0,1,3,4,5,7,5,1,1,1,6,2,17,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
6038,67,5.0,1,1,1,5,1,1,1,6,3,2,23,234567,2,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,2
6059,36,6.0,1,1,1,5,1,1,1,3,2,2,2,25678,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2
