CONGLOME,VIVIENDA,ID,P209,P210_PSOC_01
8330,106,7.0,,
8793,47,5.0,6.0,8.0
9650,55,99.0,3.0,8.0
8729,65,4.0,3.0,8.0
8729,67,6.0,3.0,8.0
6266,86,4.0,3.0,8.0
7446,127,99.0,3.0,8.0
7446,127,8.0,3.0,8.0
5074,160,99.0,3.0,8.0
5074,160,6.0,3.0,8.0
5074,80,99.0,3.0,8.0
5984,14,4.0,3.0,8.0
7246,60,4.0,6.0,8.0
7246,25,3.0,6.0,8.0
9249,39,7.0,,
5241,106,4.0,3.0,8.0
5230,11,4.0,6.0,8.0
5013,37,9.0,3.0,8.0
5013,139,6.0,1.0,8.0
9756,3,8.0,3.0,8.0
6584,57,6.0,3.0,8.0
6298,42,5.0,3.0,8.0
6298,107,3.0,6.0,8.0
7302,23,5.0,1.0,8.0
8307,39,99.0,6.0,8.0
8307,39,6.0,6.0,8.0
8307,114,7.0,1.0,8.0
5286,103,5.0,3.0,8.0
5298,79,4.0,3.0,8.0
7541,23,3.0,1.0,8.0
7541,123,99.0,3.0,8.0
5785,244,4.0,3.0,4.0
5785,250,6.0,3.0,8.0
7108,101,5.0,1.0,8.0
7122,1,3.0,6.0,8.0
9450,83,6.0,3.0,8.0
8318,100,8.0,3.0,8.0
8461,34,3.0,3.0,8.0
9450,85,2.0,3.0,8.0
5622,43,4.0,1.0,8.0
6569,137,4.0,3.0,8.0
6569,47,6.0,6.0,8.0
6569,127,99.0,6.0,8.0
6569,45,7.0,6.0,8.0
7397,55,6.0,3.0,8.0
8034,114,7.0,1.0,8.0
8509,142,5.0,1.0,8.0
6960,98,99.0,3.0,8.0
6960,98,7.0,3.0,8.0
7960,80,4.0,6.0,8.0
6643,6,5.0,3.0,8.0
6643,24,5.0,3.0,8.0
9258,55,99.0,1.0,8.0
9719,3,99.0,,
9719,3,5.0,,
9719,170,4.0,6.0,8.0
9720,5,6.0,3.0,8.0
9719,109,99.0,6.0,8.0
6621,94,5.0,3.0,8.0
8440,199,3.0,6.0,8.0
9286,114,5.0,3.0,8.0
7460,60,4.0,3.0,8.0
9286,108,4.0,3.0,8.0
8315,46,5.0,3.0,8.0
8315,52,8.0,3.0,8.0
6905,97,4.0,1.0,8.0
8317,3,99.0,3.0,8.0
8317,68,99.0,3.0,8.0
8317,68,7.0,3.0,8.0
9054,86,5.0,3.0,8.0
9054,65,7.0,3.0,8.0
10327,91,99.0,3.0,8.0
10327,91,7.0,3.0,8.0
10327,90,6.0,6.0,8.0
10150,1,6.0,3.0,8.0
10150,83,99.0,3.0,8.0
5384,6,7.0,3.0,8.0
5473,68,5.0,1.0,8.0
5555,84,3.0,6.0,8.0
6417,28,5.0,3.0,8.0
6417,181,6.0,3.0,8.0
6809,81,6.0,1.0,8.0
6866,81,99.0,3.0,8.0
8686,27,4.0,3.0,8.0
10210,45,3.0,1.0,8.0
5952,27,4.0,3.0,8.0
5952,28,4.0,3.0,8.0
5952,63,5.0,3.0,8.0
6572,114,99.0,3.0,4.0
6572,114,8.0,3.0,4.0
6572,118,5.0,3.0,4.0
5764,47,7.0,6.0,8.0
5764,48,99.0,3.0,8.0
5764,48,9.0,3.0,8.0
5224,61,5.0,1.0,8.0
5225,13,6.0,,
6287,3,3.0,3.0,8.0
6287,77,5.0,3.0,4.0
7921,50,5.0,1.0,8.0
8596,102,9.0,3.0,8.0
9731,130,3.0,1.0,8.0
6421,45,4.0,1.0,8.0
10380,11,7.0,,
10380,55,5.0,3.0,8.0
7279,76,99.0,3.0,8.0
7279,76,4.0,3.0,8.0
9024,51,5.0,,
10359,133,6.0,3.0,8.0
10359,30,5.0,3.0,8.0
10175,113,4.0,1.0,8.0
7236,196,7.0,6.0,8.0
7207,86,3.0,1.0,8.0
7207,42,4.0,6.0,8.0
10176,137,4.0,1.0,8.0
7977,31,6.0,3.0,8.0
8013,39,7.0,,
10254,157,4.0,1.0,8.0
7248,88,99.0,3.0,8.0
7248,88,5.0,3.0,8.0
7248,87,7.0,3.0,8.0
9740,133,7.0,6.0,8.0
9740,135,4.0,,
